,gender,district,sum(aadhaar_generated)
0,F,Ahmadnagar,45
1,F,Ahmed Nagar,0
2,F,Ahmedabad,1
3,F,Ajmer,27
4,F,Akola,5
5,F,Alirajpur,71
6,F,Allahabad,15
7,F,Alwar,14
8,F,Ambala,7
9,F,Amravati,0
10,F,Amritsar,30
11,F,Anuppur,101
12,F,Ashok Nagar,1
13,F,Aurangabad,19
14,F,Balaghat,287
15,F,Bangalore,433
16,F,Bangalore Rural,9
17,F,Banka,0
18,F,Banswara,28
19,F,Baran,5
20,F,Barwani,34
21,F,Bathinda,43
22,F,Beed,25
23,F,Belgaum,59
24,F,Bellary,65
25,F,Betul,41
26,F,Bhagalpur,0
27,F,Bhandara,4
28,F,Bharatpur,94
29,F,Bhilwara,50
30,F,Bhind,91
31,F,Bhiwani,54
32,F,Bhopal,15
33,F,Bidar,30
34,F,Bijapur,1
35,F,Bikaner,5
36,F,Bokaro,12
37,F,Buldhana,95
38,F,Bundi,2
39,F,Burhanpur,29
40,F,Central Delhi,5
41,F,Chamrajanagar,6
42,F,Chandigarh,1
43,F,Chatra,114
44,F,Chennai,2
45,F,Chhatarpur,153
46,F,Chhindwara,126
47,F,Chickmagalur,1
48,F,Chikkaballapur,1
49,F,Chitradurga,68
50,F,Chittorgarh,5
51,F,Cuddalore,2
52,F,Dakshina Kannada,2
53,F,Damoh,280
54,F,Datia,18
55,F,Dausa,3
56,F,Deoghar,31
57,F,Dewas,14
58,F,Dhalai,20
59,F,Dhanbad,37
60,F,Dhar,316
61,F,Dharwad,1
62,F,Dholpur,9
63,F,Dhule,41
64,F,Dindori,22
65,F,Dumka,23
66,F,Dungarpur,6
67,F,East Godavari,1
68,F,East Singhbhum,45
69,F,Ernakulam,1
70,F,Faridabad,4
71,F,Fatehabad,19
72,F,Fazilka,11
73,F,Ferozepur,41
74,F,Gadchiroli,28
75,F,Ganganagar,40
76,F,Garhwa,5
77,F,Gaya,1
78,F,Ghaziabad,6
79,F,Ghazipur,1
80,F,Giridih,4
81,F,Godda,145
82,F,Gonda,1
83,F,Gondiya,2
84,F,Gulbarga,1
85,F,Gumla,18
86,F,Guna,74
87,F,Gurdaspur,59
88,F,Gurgaon,23
89,F,Gwalior,60
90,F,Hamirpur,1
91,F,Hanumangarh,9
92,F,Harda,1
93,F,Hassan,23
94,F,Haveri,51
95,F,Hazaribagh,10
96,F,Hingoli,4
97,F,Hisar,231
98,F,Hooghly,4
99,F,Hoshangabad,0
100,F,Hoshiarpur,119
101,F,Hyderabad,13
102,F,Indore,136
103,F,Jabalpur,11
104,F,Jaipur,56
105,F,Jaisalmer,1
106,F,Jalandhar,9
107,F,Jalaun,2
108,F,Jalgaon,83
109,F,Jalna,35
110,F,Jamtara,19
111,F,Jamui,2
112,F,Jhabua,93
113,F,Jhajjar,170
114,F,Jhalawar,3
115,F,Jhunjhunun,8
116,F,Jind,58
117,F,Jodhpur,1
118,F,K.v. Rangareddy,5
119,F,Kaithal,4
120,F,Kancheepuram,1
121,F,Kangra,0
122,F,Kanniyakumari,2
123,F,Kapurthala,10
124,F,Karaikal,1
125,F,Karauli,20
126,F,Karnal,75
127,F,Katihar,1
128,F,Katni,22
129,F,Kaushambi,1
130,F,Kendujhar,2
131,F,Khandwa,13
132,F,Khargone,259
133,F,Khowai,2
134,F,Khunti,9
135,F,Koderma,133
136,F,Kolar,93
137,F,Kolhapur,79
138,F,Kolkata,1
139,F,Koppal,10
140,F,Kota,15
141,F,Krishnagiri,1
142,F,Kurukshetra,37
143,F,Latehar,23
144,F,Latur,22
145,F,Lohardaga,49
146,F,Ludhiana,36
147,F,Madhubani,2
148,F,Mahendragarh,87
149,F,Mandla,41
150,F,Mandsaur,5
151,F,Mandya,4
152,F,Mansa,71
153,F,Moga,29
154,F,Morena,89
155,F,Mumbai,62
156,F,Muzaffarpur,1
157,F,Nagaur,0
158,F,Nagpur,6
159,F,Nalgonda,9
160,F,Nanded,9
161,F,Nandurbar,0
162,F,Narsinghpur,31
163,F,Nashik,104
164,F,Nawada,1
165,F,New Delhi,1
166,F,North Delhi,2
167,F,North East Delhi,1
168,F,North Tripura,4
169,F,North West Delhi,12
170,F,Osmanabad,5
171,F,Others,4
172,F,Pakur,223
173,F,Palamu,7
174,F,Pali,1
175,F,Panchkula,1
176,F,Panipat,222
177,F,Panna,178
178,F,Parbhani,2
179,F,Pathankot,13
180,F,Patna,1
181,F,Puducherry,0
182,F,Pune,108
183,F,Raichur,11
184,F,Raigarh,13
185,F,Raisen,59
186,F,Rajsamand,22
187,F,Ramanagar,66
188,F,Ramgarh,10
189,F,Ranchi,47
190,F,Ratlam,20
191,F,Ratnagiri,1
192,F,Rewa,437
193,F,Rewari,16
