,gender,district,sum(aadhaar_generated)
0,F,Yavatmal,38
1,M,Yavatmal,54
2,F,Yamuna Nagar,130
3,M,Yamuna Nagar,149
4,F,Yadgir,3
5,M,Yadgir,12
6,F,West Tripura,15
7,M,West Tripura,24
8,F,West Singhbhum,221
9,M,West Singhbhum,227
10,F,West Delhi,4
11,M,West Delhi,3
12,F,Washim,22
13,M,Washim,33
14,F,Wardha,1
15,M,Wardha,1
16,F,Viluppuram,6
17,M,Viluppuram,18
18,F,Vidisha,43
19,M,Vidisha,84
20,M,Vellore,0
21,M,Valsad,2
22,F,Unakoti,1
23,M,Una,3
24,F,Umaria,83
25,M,Umaria,137
26,F,Ujjain,63
27,M,Ujjain,66
28,F,Udaipur,3
29,M,Udaipur,16
30,F,Tumkur,2
31,M,Tumkur,1
32,F,Tonk,10
33,M,Tonk,49
34,M,Tiruvannamalai,1
35,F,Tiruvallur,1
36,F,Tikamgarh,49
37,M,Tikamgarh,265
38,F,Thane,92
39,M,Thane,144
40,F,Tehri Garhwal,1
41,F,Tarn Taran,106
42,M,Tarn Taran,125
43,F,Sundergarh,1
44,F,Sri Muktsar Sahib,28
45,M,Sri Muktsar Sahib,21
46,F,South West Delhi,6
47,M,South West Delhi,4
48,M,South Tripura,0
49,F,South Delhi,6
50,M,South Delhi,5
51,F,Sonipat,13
52,M,Sonipat,14
53,F,Sonbhadra,1
54,M,Sonbhadra,7
55,F,Solapur,45
56,M,Solapur,80
57,F,Sirsa,165
58,M,Sirsa,158
59,F,Singrauli,93
60,M,Singrauli,154
61,F,Sindhudurg,1
62,F,Simdega,3
63,M,Simdega,8
64,F,Sikar,45
65,M,Sikar,57
66,F,Sidhi,105
67,M,Sidhi,216
68,M,Siddharthnagar,1
69,M,Shrawasti,1
70,F,Shivpuri,26
71,M,Shivpuri,53
72,F,Shimoga,83
73,M,Shimoga,147
74,F,Sheopur,4
75,M,Sheopur,45
76,F,Sheikhpura,1
77,F,Shajapur,5
78,M,Shajapur,5
79,F,Shaheed Bhagat Singh Nagar,19
80,M,Shaheed Bhagat Singh Nagar,20
81,F,Shahdol,155
82,M,Shahdol,258
83,F,Seraikela-Kharsawan,45
84,M,Seraikela-Kharsawan,34
85,M,Sepahijala,1
86,F,Seoni,12
87,M,Seoni,19
88,F,Sehore,23
89,M,Sehore,53
90,F,Sawai Madhopur,11
91,M,Sawai Madhopur,26
92,F,Satna,244
93,M,Satna,392
94,F,Satara,121
95,M,Satara,110
96,F,Sangrur,34
97,M,Sangrur,45
98,F,Sangli,398
99,M,Sangli,569
100,M,Samastipur,0
101,F,Salem,1
102,F,Sahebganj,114
103,M,Sahebganj,59
104,M,Saharsa,1
105,F,Sagar,220
106,M,Sagar,329
107,F,SAS Nagar (Mohali),10
108,M,SAS Nagar (Mohali),9
109,F,Rohtak,67
110,M,Rohtak,75
111,F,Rewari,16
112,M,Rewari,18
113,F,Rewa,437
114,M,Rewa,498
115,F,Ratnagiri,1
116,M,Ratnagiri,1
117,F,Ratlam,20
118,M,Ratlam,22
119,F,Ranchi,47
120,M,Ranchi,80
121,F,Ramgarh,10
122,M,Ramgarh,20
123,F,Ramanagar,66
124,M,Ramanagar,80
125,F,Rajsamand,22
126,M,Rajsamand,22
127,M,Rajgarh,0
128,F,Raisen,59
129,M,Raisen,74
130,F,Raigarh,13
131,M,Raigarh,34
132,F,Raichur,11
133,M,Raichur,8
134,M,Puruliya,3
135,F,Pune,108
136,M,Pune,102
137,F,Puducherry,0
138,M,Pratapgarh,7
139,F,Patna,1
140,M,Patna,3
141,F,Pathankot,13
142,M,Pathankot,28
143,F,Parbhani,2
144,M,Parbhani,3
145,F,Panna,178
146,M,Panna,283
147,F,Panipat,222
148,M,Panipat,231
149,F,Panchkula,1
150,M,Palwal,0
151,F,Pali,1
152,M,Pali,3
153,F,Palamu,7
154,M,Palamu,21
155,F,Pakur,223
156,M,Pakur,164
157,F,Others,4
158,M,Others,2
159,F,Osmanabad,5
160,M,Osmanabad,41
161,F,North West Delhi,12
162,M,North West Delhi,12
163,F,North Tripura,4
164,M,North Tripura,6
165,F,North East Delhi,1
166,M,North East Delhi,2
167,F,North Delhi,2
168,M,North Delhi,0
169,M,North 24 Parganas,2
170,F,New Delhi,1
171,M,Neemuch,1
172,F,Nawada,1
173,M,Nawada,0
174,F,Nashik,104
175,M,Nashik,129
176,F,Narsinghpur,31
177,M,Narsinghpur,88
178,F,Nandurbar,0
179,M,Nandurbar,1
180,F,Nanded,9
181,M,Nanded,18
182,M,Namakkal,1
183,F,Nalgonda,9
184,M,Nalgonda,5
185,M,Nalanda,1
186,F,Nagpur,6
187,M,Nagpur,13
188,F,Nagaur,0
189,M,Nagaur,25
190,M,Nadia,4
191,F,Muzaffarpur,1
192,M,Muzaffarpur,1
193,F,Mumbai,62
194,M,Mumbai,74
195,F,Morena,89
196,M,Morena,157
197,F,Moga,29
198,M,Moga,33
199,M,Meerut,3
200,M,Mau,1
201,F,Mansa,71
202,M,Mansa,64
203,F,Mandya,4
204,M,Mandya,4
205,F,Mandsaur,5
206,M,Mandsaur,5
207,F,Mandla,41
208,M,Mandla,88
209,M,Mahoba,3
210,F,Mahendragarh,87
211,M,Mahendragarh,93
212,M,Mahabubnagar,0
213,F,Madhubani,2
214,M,Madhubani,1
215,F,Ludhiana,36
216,M,Ludhiana,52
217,F,Lohardaga,49
218,M,Lohardaga,52
219,F,Latur,22
220,M,Latur,46
221,F,Latehar,23
222,M,Latehar,37
223,F,Kurukshetra,37
224,M,Kurukshetra,46
225,F,Krishnagiri,1
226,F,Kota,15
227,M,Kota,29
228,M,Koriya,1
229,M,Korba,1
230,F,Koppal,10
231,M,Koppal,14
232,F,Kolkata,1
233,F,Kolhapur,79
234,M,Kolhapur,69
235,F,Kolar,93
236,M,Kolar,72
237,F,Koderma,133
238,M,Koderma,111
239,F,Khunti,9
240,M,Khunti,10
241,F,Khowai,2
242,M,Khowai,3
243,F,Khargone,259
244,M,Khargone,274
245,F,Khandwa,13
246,M,Khandwa,12
247,F,Kendujhar,2
248,M,Kendujhar,1
249,F,Kaushambi,1
250,F,Katni,22
251,M,Katni,53
252,F,Katihar,1
253,F,Karnal,75
254,M,Karnal,76
255,F,Karauli,20
256,M,Karauli,48
257,F,Karaikal,1
258,M,Karaikal,1
259,F,Kapurthala,10
260,M,Kapurthala,9
261,M,Kanpur Nagar,1
262,F,Kanniyakumari,2
263,M,Kanniyakumari,1
264,M,Kannauj,1
265,F,Kangra,0
266,M,Kangra,6
267,F,Kancheepuram,1
268,F,Kaithal,4
269,M,Kaithal,1
270,F,K.v. Rangareddy,5
271,M,K.v. Rangareddy,8
272,F,Jodhpur,1
273,M,Jodhpur,5
274,F,Jind,58
275,M,Jind,75
276,F,Jhunjhunun,8
277,M,Jhunjhunun,14
278,M,Jhansi,3
279,F,Jhalawar,3
280,M,Jhalawar,32
281,F,Jhajjar,170
282,M,Jhajjar,182
283,F,Jhabua,93
284,M,Jhabua,137
285,M,Jaunpur,1
286,F,Jamui,2
287,M,Jamui,3
288,F,Jamtara,19
289,M,Jamtara,16
290,F,Jalna,35
291,M,Jalna,44
292,F,Jalgaon,83
293,M,Jalgaon,86
294,F,Jalaun,2
295,M,Jalaun,1
296,F,Jalandhar,9
297,M,Jalandhar,8
298,M,Jajapur,1
299,F,Jaisalmer,1
300,M,Jaisalmer,0
301,F,Jaipur,56
302,M,Jaipur,191
303,F,Jabalpur,11
304,M,Jabalpur,29
305,F,Indore,136
306,M,Indore,175
307,F,Hyderabad,13
308,M,Hyderabad,18
309,M,Howrah,1
310,F,Hoshiarpur,119
311,M,Hoshiarpur,136
312,F,Hoshangabad,0
313,M,Hoshangabad,0
314,F,Hooghly,4
315,F,Hisar,231
316,M,Hisar,246
317,F,Hingoli,4
318,M,Hingoli,2
319,F,Hazaribagh,10
320,M,Hazaribagh,15
321,F,Haveri,51
322,M,Haveri,31
323,F,Hassan,23
324,M,Hassan,22
325,F,Harda,1
326,M,Harda,6
327,F,Hanumangarh,9
328,M,Hanumangarh,6
329,F,Hamirpur,1
330,M,Hamirpur,1
331,F,Gwalior,60
332,M,Gwalior,76
333,F,Gurgaon,23
334,M,Gurgaon,23
335,F,Gurdaspur,59
336,M,Gurdaspur,75
337,F,Guna,74
338,M,Guna,193
339,F,Gumla,18
340,M,Gumla,30
341,F,Gulbarga,1
342,M,Gulbarga,13
343,M,Gorakhpur,1
344,M,Gopalganj,1
345,F,Gondiya,2
346,F,Gonda,1
347,M,Gomati,1
348,F,Godda,145
349,M,Godda,162
350,F,Giridih,4
351,M,Giridih,5
352,F,Ghazipur,1
353,F,Ghaziabad,6
354,M,Ghaziabad,9
355,F,Gaya,1
356,M,Gautam Buddha Nagar,3
357,F,Garhwa,5
358,M,Garhwa,11
359,F,Ganganagar,40
360,M,Ganganagar,58
361,F,Gadchiroli,28
362,M,Gadchiroli,32
363,F,Ferozepur,41
364,M,Ferozepur,19
365,F,Fazilka,11
366,M,Fazilka,6
367,F,Fatehabad,19
