id,key,value,type
26261196,amenity,post_office,regular
26261196,name,Valmont Post Office,regular
26261196,opening_hours,"Mo-Fr 09:00-18:00, Sa 10:00-14:00",regular
26261196,website,https://tools.usps.com/go/POLocatorDetailsAction!input.action?&locationType=po&locationID=1385692,regular
55728859,highway,turning_circle,regular
55731635,highway,turning_circle,regular
55737777,highway,turning_circle,regular
55767388,tmp,tmp,regular
55801060,highway,turning_circle,regular
88437239,power,tower,regular
88437239,source,bing,regular
88453034,highway,turning_circle,regular
88469142,highway,turning_circle,regular
88472186,highway,turning_circle,regular
88477697,highway,turning_circle,regular
88480197,highway,turning_circle,regular
88487617,highway,turning_circle,regular
88487882,highway,turning_circle,regular
88496851,highway,turning_circle,regular
88497981,highway,turning_circle,regular
88498273,highway,traffic_signals,regular
88511383,highway,turning_circle,regular
88513946,highway,turning_circle,regular
88526391,highway,turning_circle,regular
88527512,highway,turning_circle,regular
88529930,highway,turning_circle,regular
88542273,highway,turning_circle,regular
88544547,highway,turning_circle,regular
88544987,source,Yahoo,regular
88544987,highway,turning_circle,regular
151357093,ele,1971,regular
151357093,name,Castle Oaks,regular
151357093,is_in,"Douglas,Colorado,Colo.,CO,USA",regular
151357093,place,hamlet,regular
151357093,id,2085588,gnis
151357093,gnis:Class,Populated Place,regular
151357093,gnis:County,Douglas,regular
151357093,gnis:ST_num,08,regular
151357093,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151357093,gnis:ST_alpha,CO,regular
151357093,gnis:County_num,035,regular
151500657,ele,1952,regular
151500657,name,Burning Tree Ranch,regular
151500657,is_in,"Douglas,Colorado,Colo.,CO,USA",regular
151500657,place,hamlet,regular
151500657,id,2085620,gnis
151500657,gnis:Class,Populated Place,regular
151500657,gnis:County,Douglas,regular
151500657,gnis:ST_num,08,regular
151500657,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151500657,gnis:ST_alpha,CO,regular
151500657,gnis:County_num,035,regular
151719147,ele,1583,regular
151719147,name,North Washington,regular
151719147,is_in,"Adams,Colorado,Colo.,CO,USA",regular
151719147,place,hamlet,regular
151719147,id,1852846,gnis
151719147,gnis:Class,Populated Place,regular
151719147,gnis:County,Adams,regular
151719147,gnis:ST_num,08,regular
151719147,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151719147,gnis:ST_alpha,CO,regular
151719147,gnis:County_num,001,regular
151927865,ele,1565,regular
151927865,name,Adams City,regular
151927865,is_in,"Adams,Colorado,Colo.,CO,USA",regular
151927865,place,hamlet,regular
151927865,id,196393,gnis
151927865,gnis:Class,Populated Place,regular
151927865,gnis:County,Adams,regular
151927865,gnis:ST_num,08,regular
151927865,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151927865,gnis:ST_alpha,CO,regular
151927865,gnis:County_num,001,regular
175862489,source,Yahoo,regular
175862489,highway,turning_circle,regular
175863276,highway,turning_circle,regular
175865974,ref,45,regular
175865974,highway,motorway_junction,regular
175901793,highway,turning_circle,regular
175912597,highway,turning_circle,regular
175934095,highway,turning_circle,regular
175973190,highway,turning_circle,regular
175977839,highway,turning_circle,regular
175997064,highway,turning_circle,regular
176003813,highway,turning_circle,regular
176015552,highway,turning_circle,regular
176030018,source,Yahoo,regular
176030018,highway,turning_circle,regular
176036897,source,Yahoo,regular
176036897,highway,turning_circle,regular
176042438,highway,turning_circle,regular
176044261,source,Yahoo,regular
176044261,highway,turning_circle,regular
176045043,highway,turning_circle,regular
176056022,source,Yahoo,regular
176056022,highway,turning_circle,regular
176063908,highway,traffic_signals,regular
176066968,ref,275C,regular
176066968,highway,motorway_junction,regular
176069665,bicycle,yes,regular
176069665,highway,crossing,regular
176069665,crossing,uncontrolled,regular
176072515,highway,turning_circle,regular
176077796,highway,turning_circle,regular
176078486,source,Bing,regular
176078486,railway,level_crossing,regular
176086896,highway,turning_circle,regular
176088759,highway,turning_circle,regular
176095381,highway,turning_circle,regular
176095921,highway,traffic_signals,regular
176101905,highway,turning_circle,regular
176103311,highway,traffic_signals,regular
176105366,highway,turning_circle,regular
176112168,source,Yahoo,regular
176112168,highway,turning_circle,regular
176127870,highway,turning_circle,regular
176141582,highway,turning_circle,regular
176142058,highway,turning_circle,regular
176144215,source,Yahoo,regular
176144215,highway,turning_circle,regular
176144449,highway,turning_circle,regular
176164893,highway,turning_circle,regular
176167329,highway,turning_circle,regular
176179871,source,Yahoo,regular
176179871,highway,turning_circle,regular
176180524,highway,turning_circle,regular
176182218,highway,turning_circle,regular
176182632,highway,traffic_signals,regular
176190426,source,Yahoo,regular
176190426,highway,turning_circle,regular
176196353,highway,traffic_signals,regular
176197060,highway,turning_circle,regular
176203462,highway,turning_circle,regular
176205594,highway,turning_circle,regular
176210660,source,Yahoo,regular
176210660,highway,turning_circle,regular
176211095,highway,turning_circle,regular
176217968,ele,1688,regular
176217968,name,Peoria Hills Park,regular
176217968,leisure,park,regular
176217968,created,05/22/2006,gnis
176217968,state_id,08,gnis
176217968,county_id,005,gnis
176217968,feature_id,2088568,gnis
176223120,source,Yahoo,regular
176223120,highway,turning_circle,regular
176225074,highway,turning_circle,regular
176228909,barrier,gate,regular
176229505,source,Yahoo,regular
176229505,highway,turning_circle,regular
176238521,source,Yahoo,regular
176238521,highway,turning_circle,regular
176240002,source,Yahoo,regular
176240002,highway,turning_circle,regular
176250822,highway,traffic_signals,regular
176267860,source,Yahoo,regular
176267860,highway,turning_circle,regular
176270760,highway,turning_circle,regular
176270955,source,Bing,regular
176270955,junction,roundabout,regular
176272793,highway,turning_circle,regular
176273485,highway,turning_circle,regular
176276068,highway,turning_circle,regular
176281712,source,Bing,regular
176281712,highway,turning_circle,regular
176296606,highway,turning_circle,regular
176307040,highway,turning_circle,regular
176323580,highway,turning_circle,regular
176330633,highway,turning_circle,regular
176413657,highway,turning_circle,regular
176414207,highway,turning_circle,regular
176466796,noref,yes,regular
176466796,highway,motorway_junction,regular
176478919,highway,turning_circle,regular
176484249,highway,turning_circle,regular
176487678,highway,turning_circle,regular
176490143,highway,turning_circle,regular
176530130,highway,turning_circle,regular
176536353,highway,turning_circle,regular
176537561,highway,turning_circle,regular
176538047,highway,traffic_signals,regular
176554360,highway,turning_circle,regular
176573742,highway,turning_circle,regular
176578171,highway,turning_circle,regular
176588182,highway,turning_loop,regular
176589910,highway,turning_circle,regular
176899331,highway,turning_circle,regular
177233629,highway,traffic_signals,regular
177235321,highway,traffic_signals,regular
177244481,highway,turning_circle,regular
177253659,highway,turning_circle,regular
177260493,highway,traffic_signals,regular
177264913,highway,turning_circle,regular
177267253,highway,turning_circle,regular
177276893,highway,turning_circle,regular
177286499,highway,turning_circle,regular
177292781,highway,turning_circle,regular
177300787,highway,turning_circle,regular
177304750,highway,turning_circle,regular
177309900,highway,traffic_signals,regular
177315447,highway,turning_circle,regular
177330451,highway,turning_circle,regular
177332271,highway,turning_circle,regular
177332597,highway,turning_circle,regular
177332872,source,Yahoo,regular
177332872,highway,turning_circle,regular
177340318,highway,turning_circle,regular
177345106,highway,turning_circle,regular
177348783,noexit,yes,regular
177348783,source,Bing,regular
177349416,highway,traffic_signals,regular
177358480,highway,turning_circle,regular
177367842,source,Yahoo,regular
177367842,highway,turning_circle,regular
177382664,highway,turning_circle,regular
177387184,source,Yahoo,regular
177387184,highway,turning_circle,regular
177387821,highway,traffic_signals,regular
177389880,highway,turning_circle,regular
213611849,source,yahoo,regular
352974166,source,Bing,regular
352974166,highway,turning_circle,regular
358912717,ele,1574,regular
358912717,name,Crystal Lake,regular
358912717,landuse,reservoir,regular
358912717,created,10/13/1978,gnis
358912717,state_id,08,gnis
358912717,county_id,013,gnis
358912717,feature_id,178337,gnis
358913351,ele,1690,regular
358913351,name,Haystack Mountain,regular
358913351,natural,peak,regular
358913351,created,10/13/1978,gnis
358913351,state_id,08,gnis
358913351,county_id,013,gnis
358913351,feature_id,178711,gnis
358916590,ele,2416,regular
358916590,name,Green Mountain,regular
358916590,natural,peak,regular
358916590,created,10/13/1978,gnis
358916590,state_id,08,gnis
358916590,county_id,013,gnis
358916590,feature_id,181211,gnis
358917275,ele,1620,regular
358917275,name,Russell Elementary School,regular
358917275,amenity,school,regular
358917275,created,08/31/1992,gnis
358917275,state_id,08,gnis
358917275,county_id,059,gnis
358917275,feature_id,181658,gnis
358918379,ele,3132,regular
358918379,name,Mount Judge,regular
358918379,natural,peak,regular
358918379,created,10/13/1978,gnis
358918379,state_id,08,gnis
358918379,county_id,019,gnis
358918379,feature_id,182062,gnis
358919018,ele,1649,regular
358919018,name,Axford Cottage School (historical),regular
358919018,amenity,school,regular
358919018,created,10/13/1978,gnis
358919018,state_id,08,gnis
358919018,county_id,059,gnis
358919018,feature_id,182314,gnis
358919891,ele,2063,regular
358919891,name,Crystal Lake,regular
358919891,landuse,reservoir,regular
358919891,created,10/13/1978,gnis
358919891,state_id,08,gnis
358919891,county_id,059,gnis
358919891,feature_id,183304,gnis
358920904,ele,1582,regular
358920904,name,Swansea Elementary School,regular
358920904,amenity,school,regular
358920904,created,08/31/1992,gnis
358920904,state_id,08,gnis
358920904,county_id,031,gnis
358920904,feature_id,184736,gnis
358921378,ele,1632,regular
358921378,name,Ashley Elementary School,regular
358921378,phone,720-424-9748,regular
358921378,amenity,school,regular
358921378,website,http://ashley.dpsk12.org/,regular
358921378,street,Syracuse Street,addr
358921378,created,08/31/1992,gnis
358921378,postcode,80220,addr
358921378,state_id,08,gnis
358921378,county_id,031,gnis
358921378,feature_id,184955,gnis
358921378,housenumber,1914,addr
358933311,ele,1961,regular
358933311,name,Kiowa Creek Watershed 3-A-40 Dam,regular
358933311,waterway,dam,regular
358933311,created,09/01/1994,gnis
358933311,state_id,08,gnis
358933311,county_id,039,gnis
358933311,feature_id,198382,gnis
358933948,ele,1676,regular
358933948,name,Viele Lake Dam,regular
358933948,waterway,dam,regular
358933948,created,09/01/1994,gnis
358933948,state_id,08,gnis
358933948,county_id,013,gnis
358933948,feature_id,198652,gnis
358939196,ele,1481,regular
358939196,name,Bass Reservoir,regular
358939196,landuse,reservoir,regular
358939196,created,09/01/1994,gnis
358939196,state_id,08,gnis
358939196,county_id,123,gnis
358939196,feature_id,200337,gnis
358940178,ele,1536,regular
358940178,name,Banner Lake Number 3 Dam,regular
358940178,waterway,dam,regular
358940178,created,09/01/1994,gnis
358940178,state_id,08,gnis
358940178,county_id,123,gnis
358940178,feature_id,200764,gnis
358942040,ele,1613,regular
358942040,name,Koleski Number 2 Dam,regular
358942040,waterway,dam,regular
358942040,created,09/01/1994,gnis
358942040,state_id,08,gnis
358942040,county_id,001,gnis
358942040,feature_id,201502,gnis
358944983,ele,2225,regular
358944983,name,KCNC-TV (Denver),regular
358944983,man_made,tower,regular
358944983,created,09/01/1994,gnis
358944983,state_id,08,gnis
358944983,county_id,059,gnis
358944983,feature_id,204222,gnis
358947410,city,Boulder,addr
358947410,housenumber,6783,addr
358947410,postcode,80303,addr
358947410,state,CO,addr
358947410,street,Baseline Road,addr
358947410,amenity,place_of_worship,regular
358947410,denomination,jehovahs_witness,regular
358947410,ele,1621,regular
358947410,county_id,013,gnis
358947410,created,08/31/1992,gnis
358947410,feature_id,2036553,gnis
358947410,state_id,08,gnis
358947410,name,Jehovah's Witnesses,regular
358947410,religion,christian,regular
358948308,ele,1659,regular
358948308,name,Horsemans Park,regular
358948308,leisure,park,regular
358948308,created,03/13/2006,gnis
358948308,state_id,08,gnis
358948308,county_id,005,gnis
358948308,feature_id,2084951,gnis
358948877,ele,1697,regular
358948877,name,Overland High School,regular
358948877,amenity,school,regular
358948877,edited,09/18/2007,gnis
358948877,created,05/22/2006,gnis
358948877,state_id,08,gnis
358948877,county_id,005,gnis
358948877,feature_id,2088610,gnis
358949407,ele,1604,regular
358949407,name,South Denver Station Denver Post Office,regular
358949407,amenity,post_office,regular
358949407,operator,US Postal Service,regular
358949407,created,06/05/2006,gnis
358949407,state_id,08,gnis
358949407,county_id,031,gnis
358949407,feature_id,2089341,gnis
358949851,ele,1735,regular
358949851,name,Southeast Church of Christ,regular
358949851,phone,303-755-7979,regular
358949851,amenity,place_of_worship,regular
358949851,website,http://www.southeast-church.org/,regular
358949851,religion,christian,regular
358949851,street,East Yale Avenue,addr
358949851,edited,03/06/2007,gnis
358949851,denomination,church_of_christ,regular
358949851,created,03/06/2007,gnis
358949851,postcode,80014,addr
358949851,state_id,08,gnis
358949851,county_id,005,gnis
358949851,feature_id,2108791,gnis
358949851,housenumber,14601,addr
358950305,ele,1614,regular
358950305,name,Cameron United Methodist Church,regular
358950305,phone,303-777-7638,regular
358950305,amenity,place_of_worship,regular
358950305,website,http://www.cameronchurch.org,regular
358950305,religion,christian,regular
358950305,street,South Pearl Street,addr
358950305,denomination,methodist,regular
358950305,created,03/27/2007,gnis
358950305,postcode,80210,addr
358950305,state_id,08,gnis
358950305,county_id,031,gnis
358950305,feature_id,2110976,gnis
358950305,housenumber,1600,addr
358951215,ele,1626,regular
358951215,name,Saint Anne's Catholic Church,regular
358951215,amenity,place_of_worship,regular
358951215,religion,christian,regular
358951215,denomination,catholic,regular
358951215,created,04/17/2007,gnis
358951215,state_id,08,gnis
358951215,county_id,059,gnis
358951215,feature_id,2118136,gnis
358951623,ele,1652,regular
358951623,name,Tabor Lake,regular
358951623,landuse,reservoir,regular
358951623,created,05/01/2007,gnis
358951623,state_id,08,gnis
358951623,county_id,059,gnis
358951623,feature_id,2120013,gnis
358952163,ele,1655,regular
358952163,name,Altura Station Aurora Post Office,regular
358952163,amenity,post_office,regular
358952163,created,05/25/2007,gnis
358952163,state_id,08,gnis
358952163,county_id,001,gnis
358952163,feature_id,2124760,gnis
358952708,ele,1646,regular
358952708,name,HealthOne Spalding Rehabilitation Hospital,regular
358952708,phone,303-367-1166,regular
358952708,amenity,hospital,regular
358952708,website,http://www.spaldingrehab.com/,regular
358952708,alt_name,Spalding Rehabilitation Hospital,regular
358952708,emergency,no,regular
358952708,street,Potomac Street,addr
358952708,created,12/17/2007,gnis
358952708,postcode,80011,addr
358952708,state_id,08,gnis
358952708,county_id,005,gnis
358952708,feature_id,2369954,gnis
358952708,housenumber,900,addr
366394822,ele,1630,regular
366394822,name,Louisville Fire Department Station 1,regular
366394822,amenity,fire_station,regular
366394822,state,CO,addr
366394822,feature_id,2036576,gnis
366394822,county_name,Boulder,gnis
366394822,import_uuid,57871b70-0100-4405-bb30-88b2e001a944,gnis
366395108,ele,1672,regular
366395108,name,Bennett Fire Protection District Station 91,regular
366395108,amenity,fire_station,regular
366395108,state,CO,addr
366395108,feature_id,2368675,gnis
366395108,county_name,Adams,gnis
366395108,import_uuid,57871b70-0100-4405-bb30-88b2e001a944,gnis
366395445,ele,1734,regular
366395445,name,West Metro Fire Rescue Station 5,regular
366395445,amenity,fire_station,regular
366395445,state,CO,addr
366395445,feature_id,2368752,gnis
366395445,county_name,Jefferson,gnis
366395445,import_uuid,57871b70-0100-4405-bb30-88b2e001a944,gnis
366395853,ele,1562,regular
366395853,name,Adams County Sheriff's Office Patrol Division,regular
366395853,amenity,police,regular
366395853,state,CO,addr
366395853,feature_id,2369885,gnis
366395853,county_name,Adams,gnis
366395853,import_uuid,57871b70-0100-4405-bb30-88b2e001a944,gnis
369162865,ele,2859,regular
369162865,name,Bird Nest and Village Belle Mine,regular
369162865,landuse,quarry,regular
369162865,state,CO,addr
369162865,created,10/13/1978,gnis
369162865,feature_id,181066,gnis
369162865,county_name,Boulder,gnis
369162865,feature_type,Mine,gnis
369163205,ele,2639,regular
369163205,name,O K Mine,regular
369163205,landuse,quarry,regular
369163205,state,CO,addr
369163205,created,10/13/1978,gnis
369163205,feature_id,181479,gnis
369163205,county_name,Gilpin,gnis
369163205,feature_type,Mine,gnis
369165432,ele,1602,regular
369165432,name,Capri Heliport,regular
369165432,aeroway,helipad,regular
369165432,state,CO,addr
369165432,source_ref,geonames.usgs.gov,regular
369165432,created,09/01/1994,gnis
369165432,feature_id,204349,gnis
369165432,county_name,Adams,gnis
369165432,feature_type,Airport,gnis
369167294,ele,2335,regular
369167294,name,Mount Pleasant Mine,regular
369167294,landuse,quarry,regular
369167294,state,CO,addr
369167294,created,04/29/1996,gnis
369167294,feature_id,1683612,gnis
369167294,county_name,Boulder,gnis
369167294,feature_type,Mine,gnis
369167835,ele,2487,regular
369167835,name,Carl Gardner Mine,regular
369167835,landuse,quarry,regular
369167835,state,CO,addr
369167835,created,04/29/1996,gnis
369167835,feature_id,1683814,gnis
369167835,county_name,Boulder,gnis
369167835,feature_type,Mine,gnis
369168253,ele,2207,regular
369168253,name,Power Shaft Mine,regular
369168253,landuse,quarry,regular
369168253,state,CO,addr
369168253,created,04/29/1996,gnis
369168253,feature_id,1683737,gnis
369168253,county_name,Boulder,gnis
369168253,feature_type,Mine,gnis
369170515,ele,2543,regular
369170515,name,Diamond Lil Tunnel Mine,regular
369170515,landuse,quarry,regular
369170515,state,CO,addr
369170515,created,04/30/1996,gnis
369170515,feature_id,1684738,gnis
369170515,county_name,Clear Creek,gnis
369170515,feature_type,Mine,gnis
