Country,Age
Niger,17.60019875
Sao Tome and Principe,17.75861931
Afghanistan,17.83968322
Chad,18.34000015
Mali,18.48999977
Bangladesh,18.66999817
Guinea,18.71999931
Mozambique,18.73860168
Malawi,18.94499969
Nepal,18.97565842
Burkina Faso,19.3993969
Central African rep.,19.40876579
Gambia,19.64669609
Sierra Leone,19.75572205
Madagascar,19.84911537
India,19.93957901
Tanzania,19.96926498
Bhutan,20.08592987
Cameroon,20.1510601
Liberia,20.16080284
Uganda,20.2470417
Benin,20.33333206
Honduras,20.35041809
Nicaragua,20.44891739
Guatemala,20.45073509
Ethiopia,20.5055027
Zambia,20.53106117
Eritrea,20.55499649
Uzbekistan,20.58316231
Papua New Guinea,20.80160321
Moldova,20.8733387
Nigeria,20.90817261
Tajikistan,20.9141407
Zimbabwe,21.03118896
Solomon Islands,21.22816467
Lesotho,21.30995369
Togo,21.34904671
Kenya,21.4477787
Dominican rep.,21.47467804
Senegal,21.53653717
Ecuador,21.55466843
"Yemen, Rep.",21.67
Oman,21.67170334
Mauritania,21.77551079
Maldives,21.82092667
Kyrgyzstan,21.8441143
Panama,21.91863823
Cote d'Ivoire,22.00292991
Gabon,22.10285187
Indonesia,22.11224365
Pakistan,22.12841225
Iran,22.14466476
Haiti,22.27551079
El Salvador,22.28621101
Cambodia,22.30000114
Ghana,22.44979858
Burundi,22.46302795
Georgia,22.46738815
Mauritius,22.55157471
Rwanda,22.57836342
Puerto Rico,22.58510419
Bolivia,22.59545898
Vanuatu,22.6080265
Sudan,22.66632843
Paraguay,22.6956501
Mexico,22.73022842
Venezuela,22.74840355
Belarus,22.77720261
Ukraine,22.81653786
West Bank and Gaza,22.86449242
"Macedonia, FYR",22.8783989
Fiji,22.89528847
Armenia,22.98603439
Colombia,23.00436401
Turkey,23.04790878
United Arab Emirates,23.08673668
Brazil,23.09729576
Philippines,23.18324852
VietNam,23.21391106
Argentina,23.26396179
Uruguay,23.30049324
China,23.31162262
Albania,23.32650948
Kazakhstan,23.35925102
Turkmenistan,23.36683464
Chile,23.37175751
Costa Rica,23.39002419
Peru,23.56531143
Russia,23.58974075
Comoros,23.61499977
Egypt,23.63006955
Mongolia,23.65853691
Azerbaijan,23.88630676
Portugal,23.93018661
Samoa,23.94953156
Thailand,24.05609512
Bulgaria,24.15979195
Guam,24.36248398
Myanmar,24.54446983
Iraq,24.8413105
Kuwait,25.06534195
Malaysia,25.11786079
Brunei,25.14610291
Cyprus,25.21969414
Sri Lanka,25.26371193
Poland,25.29973412
United States,25.3
Romania,25.30126953
Tonga,25.50241661
Cape Verde,25.68690109
Qatar,25.78560257
Saudi Arabia,25.83797646
Jordan,25.86478233
Israel,25.87360382
Bahrain,25.90460396
Montenegro,25.93799019
Serbia,25.93799019
Swaziland,25.95965004
Lithuania,26.13404846
Belize,26.17763329
Croatia,26.23072433
"macao, China",26.3622303
Slovak Republic,26.3646183
Morocco,26.44129944
Singapore,26.5067749
Canada,26.75705528
Trinidad and Tobago,26.78060722
Greece,26.94385338
"Korea, Rep.",27.0689621
Botswana,27.11158562
Bahamas,27.19277191
Iceland,27.51238251
Namibia,27.52589226
Estonia,27.58296585
Czech rep.,27.62324715
Guyana,27.79589272
Taiwan,27.8
Luxembourg,27.83593941
Hungary,27.85076332
South Africa,27.90380096
Latvia,28.15731812
Japan,28.57218933
"Hong Kong, China",28.61780357
Australia,28.93125534
Austria,28.93756866
Switzerland,29.11519051
Italy,29.16757965
Libya,29.19110107
Tunisia,29.2
Spain,29.30578423
Algeria,29.6
United Kingdom,29.75162125
French Polynesia,29.86706924
Virgin Islands (U.S.),29.9101162
New Zealand,30.00538063
Germany,30.12885094
Netherlands Antilles,30.22594261
Slovenia,30.29513741
Belgium,30.34197617
New Caledonia,30.37372017
Reunion,30.50815582
Netherlands,30.51453972
Finland,30.53718948
Ireland,30.71268082
Denmark,30.8473587
Saint Vincent and the Grenadines,30.92765027
France,30.96426582
Guadeloupe,31.57427979
Norway,31.6225338
French Guiana,31.69898033
Barbados,31.7680397
Saint Lucia,32.26
Sweden,32.40498352
Jamaica,33.20291901
Martinique,33.26953506
