id,user,uid,version,changeset,timestamp
6142989,mattchn,1778953,9,40982574,2016-07-24T02:36:54Z
6151708,UE_Su,1061145,2,31239139,2015-05-17T20:53:08Z
6159906,DaveHansenTiger,7168,1,424753,2007-09-14T04:20:57Z
6164454,GPS_dr,117055,3,7057342,2011-01-23T02:22:21Z
6166859,balrog-kun,20587,2,4318130,2010-04-03T22:58:48Z
6169628,balrog-kun,20587,2,4318130,2010-04-03T23:08:08Z
6172366,AMY-jin,838709,3,13540123,2012-10-18T06:03:05Z
6175683,bal_agates,374193,3,12621755,2012-08-05T15:07:41Z
7672801,DaveHansenTiger,7168,1,480237,2007-09-21T03:22:59Z
7673425,DaveHansenTiger,7168,1,480237,2007-09-21T03:27:33Z
7674171,angrybirdseller,1746371,2,27072210,2014-11-27T17:07:31Z
7674894,GPS_dr,117055,2,21599615,2014-04-10T04:39:00Z
7675513,DaveHansenTiger,7168,1,480237,2007-09-21T03:44:19Z
7675981,DaveHansenTiger,7168,1,480237,2007-09-21T03:47:09Z
7676450,DaveHansenTiger,7168,1,480237,2007-09-21T03:51:21Z
7677002,DaveHansenTiger,7168,1,480237,2007-09-21T03:54:52Z
7677510,nm7s9,12434,3,23073283,2014-06-22T00:40:51Z
7678077,DaveHansenTiger,7168,1,480514,2007-09-21T04:01:10Z
7678565,DaveHansenTiger,7168,1,480514,2007-09-21T04:03:26Z
7678909,DaveHansenTiger,7168,1,480514,2007-09-21T04:05:45Z
7679446,DaveHansenTiger,7168,1,480514,2007-09-21T04:10:04Z
7680192,balrog-kun,20587,2,4318130,2010-04-03T23:43:01Z
7681384,Mark Newnham,994480,2,28455407,2015-01-27T23:37:36Z
7682204,balrog-kun,20587,2,4318130,2010-04-03T23:51:58Z
7683364,Your Village Maps,227972,4,39303539,2016-05-14T02:32:07Z
7684336,dchiles,153669,3,21212263,2014-03-20T15:56:19Z
7685111,Your Village Maps,227972,5,39281142,2016-05-13T06:11:48Z
7686222,balrog-kun,20587,2,4318130,2010-04-04T00:07:13Z
7687113,GPS_dr,117055,3,21599615,2014-04-10T04:48:43Z
7688247,balrog-kun,20587,2,4318130,2010-04-04T00:15:34Z
7689190,Mark Newnham,994480,5,28496447,2015-01-29T23:57:30Z
7690055,Your Village Maps,227972,6,39303539,2016-05-14T02:32:05Z
7691241,Your Village Maps,227972,4,39303539,2016-05-14T02:32:06Z
7692132,WmofColo,2181182,3,24579156,2014-08-06T16:30:19Z
7693134,balrog-kun,20587,2,4318130,2010-04-04T00:32:37Z
7693859,balrog-kun,20587,2,4318130,2010-04-04T00:33:46Z
10379760,DaveHansenTiger,7168,1,324388,2007-10-27T00:18:48Z
10380207,thesteady,1090081,3,17879059,2013-09-17T02:58:51Z
10380571,DaveHansenTiger,7168,1,324388,2007-10-27T00:33:21Z
10380925,ruthmaben,2554698,2,38490650,2016-04-12T05:17:40Z
10381345,Luis36995,1829683,6,40330503,2016-06-27T20:50:07Z
10381842,DaveHansenTiger,7168,1,324508,2007-10-27T00:52:19Z
10382187,jjyach,2103318,5,35636444,2015-11-28T21:28:31Z
10382361,jjyach,2103318,8,44258133,2016-12-08T13:31:19Z
10382533,balrog-kun,20587,2,4318130,2010-04-04T00:37:03Z
10382708,jjyach,2103318,3,44898344,2017-01-04T13:20:26Z
10382906,balrog-kun,20587,2,4318130,2010-04-04T00:38:09Z
10383112,Stevestr,571489,9,30523163,2015-04-27T02:28:04Z
10383339,HurricaneCoast,91266,3,6393833,2010-11-17T16:05:57Z
10383549,balrog-kun,20587,2,4318130,2010-04-04T00:39:46Z
10383756,DKNOTT,1149057,4,16326511,2013-05-28T16:56:41Z
10383946,DKNOTT,1149057,3,16815379,2013-07-04T02:22:14Z
10384156,jjyach,2103318,5,40949145,2016-07-22T12:19:28Z
10384323,balrog-kun,20587,2,4318130,2010-04-04T00:41:54Z
10384508,jjyach,2103318,4,44034295,2016-11-29T13:24:03Z
10384744,GPS_dr,117055,4,7606101,2011-03-19T15:25:07Z
10384983,jjyach,2103318,2,41236244,2016-08-04T12:10:19Z
10385184,balrog-kun,20587,2,4318130,2010-04-04T00:43:44Z
10385438,GPS_dr,117055,3,16201378,2013-05-20T01:21:16Z
10385662,balrog-kun,20587,2,4318130,2010-04-04T00:44:48Z
10385850,balrog-kun,20587,2,4318130,2010-04-04T00:45:22Z
10385990,dpaschich,621202,6,39887020,2016-06-08T15:21:18Z
