id,key,value,type
6142989,name,Bear Lake Road,regular
6142989,cfcc,A41,tiger
6142989,county,"Larimer, CO",tiger
6142989,reviewed,no,tiger
6142989,zip_left,80517,tiger
6142989,name_base,Bear Lake,tiger
6142989,name_type,Rd,tiger
6142989,zip_right,80517,tiger
6142989,highway,service,demolished
6151708,access,private,regular
6151708,highway,service,regular
6151708,service,driveway,regular
6151708,cfcc,A74,tiger
6151708,county,"Larimer, CO",tiger
6151708,reviewed,no,tiger
6159906,highway,residential,regular
6159906,cfcc,A41,tiger
6159906,tlid,188531780,tiger
6159906,county,"Larimer, CO",tiger
6159906,source,tiger_import_dch_v0.6_20070809,tiger
6159906,reviewed,no,tiger
6159906,separated,no,tiger
6159906,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6164454,name,Estate Drive,regular
6164454,highway,residential,regular
6164454,cfcc,A41,tiger
6164454,tlid,188588288:188588289:188588290,tiger
6164454,county,"Larimer, CO",tiger
6164454,source,tiger_import_dch_v0.6_20070809,tiger
6164454,reviewed,no,tiger
6164454,zip_left,80513,tiger
6164454,name_base,Estate,tiger
6164454,name_type,Dr,tiger
6164454,separated,no,tiger
6164454,zip_right,80513,tiger
6166859,name,Steamboat Valley Road,regular
6166859,highway,residential,regular
6166859,cfcc,A41,tiger
6166859,tlid,188613778:188613779:188576425,tiger
6166859,county,"Larimer, CO",tiger
6166859,source,tiger_import_dch_v0.6_20070809,tiger
6166859,reviewed,no,tiger
6166859,name_base,Steamboat Valley,tiger
6166859,name_type,Rd,tiger
6166859,separated,no,tiger
6169628,name,Stirrup Hill Court,regular
6169628,highway,residential,regular
6169628,cfcc,A41,tiger
6169628,tlid,188530636,tiger
6169628,county,"Larimer, CO",tiger
6169628,source,tiger_import_dch_v0.6_20070809,tiger
6169628,reviewed,no,tiger
6169628,name_base,Stirrup Hill,tiger
6169628,name_type,Ct,tiger
6169628,separated,no,tiger
6172366,name,Dove Lane,regular
6172366,highway,residential,regular
6172366,cfcc,A41,tiger
6172366,county,"Larimer, CO",tiger
6172366,reviewed,no,tiger
6172366,zip_left,80513,tiger
6172366,name_base,Dove,tiger
6172366,name_type,Ln,tiger
6172366,zip_right,80513,tiger
6175683,name,Longs Peak Road,regular
6175683,highway,residential,regular
6175683,cfcc,A41,tiger
6175683,tlid,188586852:188620397,tiger
6175683,county,"Larimer, CO",tiger
6175683,source,tiger_import_dch_v0.6_20070809,tiger
