County,State,Perc_Female,Perc_Black,Perc_Asian,Perc_Hispanic,Perc_White,Median_Age
Abbeville County South Carolina,South Carolina,51.5,28.3,0.3,1,69.6,42.9
Acadia Parish Louisiana,Louisiana,51.2,18.1,0.2,1.7,79.5,37.3
Accomack County Virginia,Virginia,51.3,28.1,0.6,8.6,65.3,46.2
Ada County Idaho,Idaho,49.9,1.1,2.4,7.1,90.3,35.6
Adair County Missouri,Missouri,52.3,1.6,1.8,2,94,28.3
Adair County Kentucky,Kentucky,50.6,2.7,0.2,1.7,94.9,40.3
Adair County Iowa,Iowa,50.4,0.1,0.3,1.3,98.4,46.9
Adair County Oklahoma,Oklahoma,50,0.2,0.6,5.3,43,36.9
Adams County North Dakota,North Dakota,51.7,0.3,0.4,0.9,97.3,50.7
Adams County Illinois,Illinois,51.3,3.5,0.7,1.2,93.7,42.2
Adams County Pennsylvania,Pennsylvania,50.8,1.5,0.7,6,93.7,42.2
Adams County Indiana,Indiana,50.6,0.3,0.2,4.1,97,35.4
Adams County Ohio,Ohio,50.6,0.3,0.1,0.9,97.7,40
Adams County Iowa,Iowa,50.5,0.2,0.6,0.9,98.1,47.3
Adams County Nebraska,Nebraska,50.3,0.8,1.4,8.1,91.9,39.7
Adams County Mississippi,Mississippi,50.1,53.5,0.4,6.7,42.7,43.8
Adams County Colorado,Colorado,49.7,3.1,3.6,38,73.3,32.9
Adams County Washington,Washington,49,0.6,0.7,59.3,62.5,29.8
Adams County Idaho,Idaho,48.7,0.1,0.4,2.4,96.1,49.3
Adams County Wisconsin,Wisconsin,46.2,3,0.4,3.8,93,51
Addison County Vermont,Vermont,50.1,0.8,1.4,1.9,95.3,42.3
Adjuntas Municipio Puerto Rico,Puerto Rico,51.1,3.1,0,99.6,93.1,37.1
Aguada Municipio Puerto Rico,Puerto Rico,50.9,5.3,0.1,99.4,86.6,38.5
Aguadilla Municipio Puerto Rico,Puerto Rico,51.4,7.4,0.2,98.5,83,39.5
Aguas Buenas Municipio Puerto Rico,Puerto Rico,51,12.6,0.1,99.5,72.5,37.4
Aձasco Municipi Puerto Rico,Puerto Rico,51.4,7.2,0.1,99.2,82,39.6
Aibonito Municipio Puerto Rico,Puerto Rico,51.5,7.3,0,99.3,83.5,39.3
Aiken County South Carolina,South Carolina,51.6,24.6,0.8,4.9,69.6,41.3
Aitkin County Minnesota,Minnesota,49.4,0.4,0.2,0.9,95.6,52.1
Alachua County Florida,Florida,51.6,20.3,5.4,8.4,69.6,30.8
Alamance County North Carolina,North Carolina,52.4,18.8,1.2,11,71.1,39.7
Alameda County California,California,51,12.6,26.1,22.5,43,37.5
Alamosa County Colorado,Colorado,49.9,1.1,1,46,74.8,34.3
Albany County New York,New York,51.7,12.7,4.8,4.9,78.2,40
Albany County Wyoming,Wyoming,47.9,1.2,2.8,8.8,90.1,27.4
Albemarle County Virginia,Virginia,51.9,9.7,4.7,5.5,80.6,39.9
Alcona County Michigan,Michigan,49.2,0.1,0.2,1.1,97.9,55.5
Alcorn County Mississippi,Mississippi,51.1,11.4,0.3,2.7,85.4,40.6
Aleutians East Borough Alaska,Alaska,33.4,7,36,12.3,21,42.3
Aleutians West Census Area Alaska,Alaska,33.1,6,28.9,13.1,36,39.9
Alexander County North Carolina,North Carolina,49.4,5.5,1,4.3,89.6,42
Alexander County Illinois,Illinois,49.2,35.4,0.2,1.9,60.9,43
Alexandria city Virginia,Virginia,51.9,21.8,6,16.1,60.9,35.8
Alfalfa County Oklahoma,Oklahoma,41.1,4.1,0.2,4,89.4,47.9
Alger County Michigan,Michigan,45.6,6.4,0.3,1.2,86.3,50
Allamakee County Iowa,Iowa,49,0.8,0.2,5.3,96,45.5
Allegan County Michigan,Michigan,50.2,1.2,0.6,6.7,92.9,39.9
Allegany County New York,New York,49.5,1.1,0.9,1.4,96.2,39.2
Allegany County Maryland,Maryland,48.3,8,0.8,1.4,89.2,43.8
Alleghany County Virginia,Virginia,51.1,4.7,0.2,1.1,93.2,46.9
Alleghany County North Carolina,North Carolina,50.4,1.3,0.5,9,92.2,47.5
Allegheny County Pennsylvania,Pennsylvania,52.1,13.2,2.8,1.6,81.5,43.3
Allen County Indiana,Indiana,51.3,11.7,2.7,6.5,79.3,36.4
Allen County Kansas,Kansas,51.2,1.9,0.5,2.9,93.3,43.1
Allen County Kentucky,Kentucky,50.9,0.8,0.2,1.5,97,40
Allen County Ohio,Ohio,49.6,11.9,0.7,2.4,83.8,40.4
Allen Parish Louisiana,Louisiana,43.8,23.2,0.7,1.3,71.6,38.7
Allendale County South Carolina,South Carolina,46.8,73.6,0.4,2.3,23.7,41.5
Alpena County Michigan,Michigan,50.9,0.3,0.5,1,97.5,46.7
Alpine County California,California,48.4,0,0.6,7.1,75,45.4
Amador County California,California,45.5,2.5,1.1,12.5,87,50.7
Amelia County Virginia,Virginia,50.9,23.1,0.2,2.3,73.5,43.9
Amherst County Virginia,Virginia,52.2,19,0.5,1.9,76.7,42.7
Amite County Mississippi,Mississippi,51.5,41.3,0.1,0.8,57.7,44.9
Anchorage Municipality Alaska,Alaska,49.2,5.6,8.1,7.6,66,33.6
Anderson County South Carolina,South Carolina,51.8,16,0.8,2.9,80.1,40.7
Anderson County Tennessee,Tennessee,51.7,3.8,1.1,2.4,91.9,44.2
Anderson County Kentucky,Kentucky,51.1,2,0.5,1.3,95.5,39.2
Anderson County Kansas,Kansas,50.5,0.5,0.5,1.5,96.8,43.2
Anderson County Texas,Texas,39.2,21.1,0.5,15.9,66.1,39.9
Andrew County Missouri,Missouri,50.8,0.4,0.4,1.7,97.4,42.1
Andrews County Texas,Texas,50.2,1.5,0.6,48.7,79.5,34.7
Androscoggin County Maine,Maine,51.1,3.6,0.7,1.5,92.8,40.8
Angelina County Texas,Texas,51,15,0.9,19.8,72.1,37.1
Anne Arundel County Maryland,Maryland,50.6,15.5,3.4,6.1,75.4,39.7
Anoka County Minnesota,Minnesota,50,4.4,3.9,3.6,87,37.9
Anson County North Carolina,North Carolina,48,48.6,1.1,3,47.2,41.7
Antelope County Nebraska,Nebraska,50.2,0.3,0.3,2.7,97.5,47.8
Antrim County Michigan,Michigan,50.5,0.2,0.2,1.7,96.8,47.9
Apache County Arizona,Arizona,50.1,0.2,0.3,5.8,23.3,33.7
Appanoose County Iowa,Iowa,51.3,0.5,0.3,1.4,97.7,45.5
Appling County Georgia,Georgia,49.8,18.6,0.7,9.3,73.4,39.4
Appomattox County Virginia,Virginia,51.3,20.1,0.2,1.1,77.5,44
Aransas County Texas,Texas,50.4,1.3,2,24.6,87.4,49.7
Arapahoe County Colorado,Colorado,51,10.2,5.1,18.4,72.7,36.9
Archer County Texas,Texas,49.6,0.4,0.2,7.5,93.9,43.4
Archuleta County Colorado,Colorado,49.5,0.3,0.7,17.8,86.4,48.6
