,C/A,UNIT,SCP,DATEn,TIMEn,DESCn,ENTRIESn,EXITSn
0,A002,R051,02-00-00,05-21-11,00:00:00,REGULAR,3169391,1097585
1,A002,R051,02-00-00,05-21-11,04:00:00,REGULAR,3169415,1097588
2,A002,R051,02-00-00,05-21-11,08:00:00,REGULAR,3169431,1097607
3,A002,R051,02-00-00,05-21-11,12:00:00,REGULAR,3169506,1097686
4,A002,R051,02-00-00,05-21-11,16:00:00,REGULAR,3169693,1097734
5,A002,R051,02-00-00,05-21-11,20:00:00,REGULAR,3169998,1097769
6,A002,R051,02-00-00,05-22-11,00:00:00,REGULAR,3170119,1097792
7,A002,R051,02-00-00,05-22-11,04:00:00,REGULAR,3170146,1097801
8,A002,R051,02-00-00,05-22-11,08:00:00,REGULAR,3170164,1097820
9,A002,R051,02-00-00,05-22-11,12:00:00,REGULAR,3170240,1097867
10,A002,R051,02-00-00,05-22-11,16:00:00,REGULAR,3170388,1097912
11,A002,R051,02-00-00,05-22-11,20:00:00,REGULAR,3170611,1097941
12,A002,R051,02-00-00,05-23-11,00:00:00,REGULAR,3170695,1097964
13,A002,R051,02-00-00,05-23-11,04:00:00,REGULAR,3170701,1097964
14,A002,R051,02-00-00,05-23-11,08:00:00,REGULAR,3170746,1098069
15,A002,R051,02-00-00,05-23-11,12:00:00,REGULAR,3170897,1098378
16,A002,R051,02-00-00,05-23-11,16:00:00,REGULAR,3171194,1098447
17,A002,R051,02-00-00,05-23-11,20:00:00,REGULAR,3172059,1098511
18,A002,R051,02-00-00,05-24-11,00:00:00,REGULAR,3172200,1098528
19,A002,R051,02-00-00,05-24-11,04:00:00,REGULAR,3172214,1098529
20,A002,R051,02-00-00,05-24-11,08:00:00,REGULAR,3172266,1098628
21,A002,R051,02-00-00,05-24-11,12:00:00,REGULAR,3172407,1098952
22,A002,R051,02-00-00,05-24-11,16:00:00,REGULAR,3172689,1099010
23,A002,R051,02-00-00,05-24-11,20:00:00,REGULAR,3173590,1099055
24,A002,R051,02-00-00,05-25-11,00:00:00,REGULAR,3173803,1099079
25,A002,R051,02-00-00,05-25-11,04:00:00,REGULAR,3173826,1099081
26,A002,R051,02-00-00,05-25-11,08:00:00,REGULAR,3173873,1099178
27,A002,R051,02-00-00,05-25-11,12:00:00,REGULAR,3174022,1099496
28,A002,R051,02-00-00,05-25-11,16:00:00,REGULAR,3174309,1099572
29,A002,R051,02-00-00,05-25-11,20:00:00,REGULAR,3175172,1099651
30,A002,R051,02-00-00,05-26-11,00:00:00,REGULAR,3175360,1099675
31,A002,R051,02-00-00,05-26-11,04:00:00,REGULAR,3175373,1099675
32,A002,R051,02-00-00,05-26-11,08:00:00,REGULAR,3175408,1099762
33,A002,R051,02-00-00,05-26-11,12:00:00,REGULAR,3175561,1100046
34,A002,R051,02-00-00,05-26-11,16:00:00,REGULAR,3175876,1100107
35,A002,R051,02-00-00,05-26-11,20:00:00,REGULAR,3176802,1100159
36,A002,R051,02-00-00,05-27-11,00:00:00,REGULAR,3176993,1100183
37,A002,R051,02-00-00,05-27-11,04:00:00,REGULAR,3177012,1100187
38,A002,R051,02-00-00,05-27-11,08:00:00,REGULAR,3177051,1100282
39,A002,R051,02-00-00,05-27-11,12:00:00,REGULAR,3177199,1100598
40,A002,R051,02-00-00,05-27-11,16:00:00,REGULAR,3177629,1100666
41,A002,R051,02-00-00,05-27-11,20:00:00,REGULAR,3178345,1100716
42,A002,R051,02-00-01,05-21-11,00:00:00,REGULAR,3116877,664463
43,A002,R051,02-00-01,05-21-11,04:00:00,REGULAR,3116913,664469
44,A002,R051,02-00-01,05-21-11,08:00:00,REGULAR,3116928,664480
45,A002,R051,02-00-01,05-21-11,12:00:00,REGULAR,3116995,664530
