,C/A,UNIT,SCP,DATEn,TIMEn,DESCn,ENTRIESn,EXITSn,EXITSn_hourly
0,A002,R051,02-00-00,05-21-11,00:00:00,REGULAR,3169391,1097585,0.0
1,A002,R051,02-00-00,05-21-11,04:00:00,REGULAR,3169415,1097588,3.0
2,A002,R051,02-00-00,05-21-11,08:00:00,REGULAR,3169431,1097607,19.0
3,A002,R051,02-00-00,05-21-11,12:00:00,REGULAR,3169506,1097686,79.0
4,A002,R051,02-00-00,05-21-11,16:00:00,REGULAR,3169693,1097734,48.0
5,A002,R051,02-00-00,05-21-11,20:00:00,REGULAR,3169998,1097769,35.0
6,A002,R051,02-00-00,05-22-11,00:00:00,REGULAR,3170119,1097792,23.0
7,A002,R051,02-00-00,05-22-11,04:00:00,REGULAR,3170146,1097801,9.0
8,A002,R051,02-00-00,05-22-11,08:00:00,REGULAR,3170164,1097820,19.0
9,A002,R051,02-00-00,05-22-11,12:00:00,REGULAR,3170240,1097867,47.0
10,A002,R051,02-00-00,05-22-11,16:00:00,REGULAR,3170388,1097912,45.0
11,A002,R051,02-00-00,05-22-11,20:00:00,REGULAR,3170611,1097941,29.0
12,A002,R051,02-00-00,05-23-11,00:00:00,REGULAR,3170695,1097964,23.0
13,A002,R051,02-00-00,05-23-11,04:00:00,REGULAR,3170701,1097964,0.0
14,A002,R051,02-00-00,05-23-11,08:00:00,REGULAR,3170746,1098069,105.0
15,A002,R051,02-00-00,05-23-11,12:00:00,REGULAR,3170897,1098378,309.0
16,A002,R051,02-00-00,05-23-11,16:00:00,REGULAR,3171194,1098447,69.0
17,A002,R051,02-00-00,05-23-11,20:00:00,REGULAR,3172059,1098511,64.0
18,A002,R051,02-00-00,05-24-11,00:00:00,REGULAR,3172200,1098528,17.0
19,A002,R051,02-00-00,05-24-11,04:00:00,REGULAR,3172214,1098529,1.0
20,A002,R051,02-00-00,05-24-11,08:00:00,REGULAR,3172266,1098628,99.0
